Rank,University,City,State,Type,Tuition_in_state,Tuition_out_of_state,Enrollment,Acceptance_rate,Freshman_retention_rate,6yr_Grad_rate
86,University of Massachusetts Lowell,Lowell,MA,Public,12447,19560,16932,63.9,81,54
87,Virginia Commonwealth University,Richmond,VA,Public,12398,29847,31288,64,86,57
88,University of Louisville,Louisville,KY,Public,10432,24320,21447,71.1,78,53
89,University of Rhode Island,Kingston,RI,Public,12506,28072,16387,75.8,81,60
90,University of South Florida,Tampa,FL,Public,6410,17325,41428,45.2,89,63
91,University of Wyoming,Laramie,WY,Public,4646,14876,12778,95.5,74,54
92,University of Idaho,Moscow,ID,Public,6784,20314,11834,64.7,79,54
93,University of Hawaii Manoa,Honolulu,HI,Public,10620,29412,20006,79.7,78,57
94,University of North Dakota,Grand Forks,ND,Public,7508,17794,15143,71,76,55
95,University of South Dakota,Vermillion,SD,Public,8022,10104,10235,87.9,76,56
96,West Virginia University,Morgantown,WV,Public,6960,20424,29466,85.3,78,57
97,Ball State University,Muncie,IN,Public,9344,24610,20503,60.6,79,60
98,Bowling Green State University,Bowling Green,OH,Public,10726,18034,16958,72.5,72,54
99,University of Central Florida,Orlando,FL,Public,6368,22467,59740,48.9,87,67
100,University of Maine,Orono,ME,Public,10604,28484,11247,83.4,79,56
101,Western Michigan University,Kalamazoo,MI,Public,10685,24917,24294,82.9,74,55
102,North Dakota State University,Fargo,ND,Public,7660,18242,14629,84.1,78,53
103,South Dakota State University,Brookings,SD,Public,7713,9795,12554,91.9,75,57
104,University of Alabama Huntsville,Huntsville,AL,Public,9158,21232,7376,80.6,79,48
105,University of North Carolina Greensboro,Greensboro,NC,Public,6442,21304,17707,58.2,76,55
106,Southern Illinois University Carbondale,Carbondale,IL,Public,12251,24874,17964,79.3,65,44
107,University of Houston,Houston,TX,Public,10518,24378,39540,58.4,83,48
108,University of Missouri Kansas City,Kansas City,MO,Public,9582,22641,15746,65.3,73,51
109,University of New Mexico,Albuquerque,NM,Public,6846,20688,27337,56.7,77,48
110,Central Michigan University,Mount Pleasant,MI,Public,11550,23670,26902,63.1,77,59
111,Indiana University Purdue University Indianapolis,Indianapolis,IN,Public,8909,30089,30488,69.6,72,42
112,Kent State University,Kent,OH,Public,10012,17972,28998,83.1,77,51
113,Northern Illinois University,DeKalb,IL,Public,13636,22914,21138,52,70,51
114,University of Montana,Missoula,MT,Public,6330,23146,12058,95.7,73,48
115,University of Nevada Reno,Reno,NV,Public,6415,20325,18776,84.3,79,51
116,Utah State University,Logan,UT,Public,6384,18491,27812,98.5,70,51
117,Louisiana Tech University,Ruston,LA,Public,8052,22635,11015,67.4,77,50
118,University of North Carolina Charlotte,Charlotte,NC,Public,6179,18708,26571,62.7,78,54
